date,event_hour,decision_time,max_forecast_issue_used,max_baseline_history_day,max_scenario_error_day,pass
2025-03-01,12,2025-03-01T12:00:00,2025-03-01T12:00:00,58,57,True
2025-03-01,18,2025-03-01T18:00:00,2025-03-01T18:00:00,58,57,True
2025-03-02,0,2025-03-02T00:00:00,2025-03-02T00:00:00,59,58,True
2025-03-02,6,2025-03-02T06:00:00,2025-03-02T06:00:00,59,58,True
2025-03-02,12,2025-03-02T12:00:00,2025-03-02T12:00:00,59,58,True
2025-03-02,18,2025-03-02T18:00:00,2025-03-02T18:00:00,59,58,True
2025-03-03,0,2025-03-03T00:00:00,2025-03-03T00:00:00,60,59,True
2025-03-03,6,2025-03-03T06:00:00,2025-03-03T06:00:00,60,59,True
2025-03-03,12,2025-03-03T12:00:00,2025-03-03T12:00:00,60,59,True
2025-03-03,18,2025-03-03T18:00:00,2025-03-03T18:00:00,60,59,True
2025-03-04,0,2025-03-04T00:00:00,2025-03-04T00:00:00,61,60,True
2025-03-04,6,2025-03-04T06:00:00,2025-03-04T06:00:00,61,60,True
2025-03-04,12,2025-03-04T12:00:00,2025-03-04T12:00:00,61,60,True
2025-03-04,18,2025-03-04T18:00:00,2025-03-04T18:00:00,61,60,True
2025-03-05,0,2025-03-05T00:00:00,2025-03-05T00:00:00,62,61,True
2025-03-05,6,2025-03-05T06:00:00,2025-03-05T06:00:00,62,61,True
2025-03-05,12,2025-03-05T12:00:00,2025-03-05T12:00:00,62,61,True
2025-03-05,18,2025-03-05T18:00:00,2025-03-05T18:00:00,62,61,True
2025-03-06,0,2025-03-06T00:00:00,2025-03-06T00:00:00,63,62,True
2025-03-06,6,2025-03-06T06:00:00,2025-03-06T06:00:00,63,62,True
2025-03-06,12,2025-03-06T12:00:00,2025-03-06T12:00:00,63,62,True
2025-03-06,18,2025-03-06T18:00:00,2025-03-06T18:00:00,63,62,True
2025-03-07,0,2025-03-07T00:00:00,2025-03-07T00:00:00,64,63,True
2025-03-07,6,2025-03-07T06:00:00,2025-03-07T06:00:00,64,63,True
2025-03-07,12,2025-03-07T12:00:00,2025-03-07T12:00:00,64,63,True
2025-03-07,18,2025-03-07T18:00:00,2025-03-07T18:00:00,64,63,True
2025-03-08,0,2025-03-08T00:00:00,2025-03-08T00:00:00,65,64,True
2025-03-08,6,2025-03-08T06:00:00,2025-03-08T06:00:00,65,64,True
2025-03-08,12,2025-03-08T12:00:00,2025-03-08T12:00:00,65,64,True
2025-03-08,18,2025-03-08T18:00:00,2025-03-08T18:00:00,65,64,True
2025-03-09,0,2025-03-09T00:00:00,2025-03-09T00:00:00,66,65,True
2025-03-09,6,2025-03-09T06:00:00,2025-03-09T06:00:00,66,65,True
2025-03-09,12,2025-03-09T12:00:00,2025-03-09T12:00:00,66,65,True
2025-03-09,18,2025-03-09T18:00:00,2025-03-09T18:00:00,66,65,True
2025-03-10,0,2025-03-10T00:00:00,2025-03-10T00:00:00,67,66,True
2025-03-10,6,2025-03-10T06:00:00,2025-03-10T06:00:00,67,66,True
2025-03-10,12,2025-03-10T12:00:00,2025-03-10T12:00:00,67,66,True
2025-03-10,18,2025-03-10T18:00:00,2025-03-10T18:00:00,67,66,True
2025-03-11,0,2025-03-11T00:00:00,2025-03-11T00:00:00,68,67,True
2025-03-11,6,2025-03-11T06:00:00,2025-03-11T06:00:00,68,67,True
