strategy,date,event_hour,slot_j,slot_label,old_kwh,new_kwh,delta_kwh,legal
D,2025-01-03,12,94,15:50-16:00,800.0113046296299,772.9334962962963,-27.077808333333564,True
D,2025-01-03,12,95,16:00-16:10,829.7147425925926,809.7004759259258,-20.0142666666668,True
D,2025-01-03,12,96,16:10-16:20,870.3017203703703,853.6037703703705,-16.697949999999764,True
D,2025-01-03,12,97,16:20-16:30,906.112690740741,892.7310574074073,-13.381633333333639,True
D,2025-01-03,12,98,16:30-16:40,929.5467314814814,919.4814148148149,-10.06531666666649,True
D,2025-01-03,12,99,16:40-16:50,969.1874777777776,962.4384777777782,-6.748999999999455,True
D,2025-01-03,12,100,16:50-17:00,1016.0405388888893,1012.6078555555556,-3.432683333333671,True
D,2025-01-03,12,101,17:00-17:10,1053.8977944444443,1053.897461111111,-0.00033333333340124227,True
D,2025-01-03,12,102,17:10-17:20,1038.5905898148146,1038.590312037037,-0.0002777777776827861,True
D,2025-01-03,12,103,17:20-17:30,1022.9140370370372,1022.9138148148149,-0.00022222222230539046,True
D,2025-01-03,12,104,17:30-17:40,1030.271212037037,1030.2710453703703,-0.00016666666670062114,True
D,2025-01-03,12,105,17:40-17:50,1052.4136314814814,1052.4135203703704,-0.00011111111098216497,True
D,2025-01-03,12,106,17:50-18:00,958.4896009259259,958.4895453703704,-5.555555549108249e-05,True
D,2025-01-03,18,107,18:00-18:10,793.2579629629629,793.1889629629629,-0.06899999999995998,True
D,2025-01-03,18,108,18:10-18:20,503.4400683446976,503.3710683446983,-0.06899999999927786,True
D,2025-01-03,18,109,18:20-18:30,753.7261703703704,753.6801703703703,-0.04600000000004911,True
D,2025-01-03,18,110,18:30-18:40,752.9235185185188,752.8890185185186,-0.034500000000207365,True
D,2025-01-03,18,111,18:40-18:50,740.2554981481483,740.2324981481481,-0.023000000000138243,True
D,2025-01-04,6,42,7:10-7:20,0.0,176.34932667803156,176.34932667803156,True
D,2025-01-04,6,43,7:20-7:30,0.0,625.6065759259259,625.6065759259259,True
D,2025-01-04,6,44,7:30-7:40,567.0013833333334,581.67785,14.67646666666667,True
D,2025-01-04,6,45,7:40-7:50,861.3199952801175,1358.6119092592592,497.29191397914167,True
D,2025-01-04,6,89,15:00-15:10,259.248662962963,255.17125617284196,-4.077406790121046,True
D,2025-01-04,6,91,15:20-15:30,334.79685555555574,228.98445000000015,-105.81240555555559,True
D,2025-01-04,6,92,15:30-15:40,387.2613111111111,297.1947027777778,-90.0666083333333,True
D,2025-01-04,6,93,15:40-15:50,412.77441296296286,338.4536018518517,-74.32081111111114,True
D,2025-01-04,6,94,15:50-16:00,449.41385000000025,390.8388361111114,-58.57501388888886,True
D,2025-01-04,6,95,16:00-16:10,502.571737037037,459.74252037037036,-42.82921666666664,True
D,2025-01-04,6,96,16:10-16:20,532.7505425925929,496.99972037037026,-35.75082222222261,True
D,2025-01-04,6,97,16:20-16:30,541.202296296296,512.5298685185187,-28.67242777777733,True
D,2025-01-04,6,98,16:30-16:40,558.9808740740742,537.3868407407409,-21.5940333333333,True
D,2025-01-04,6,99,16:40-16:50,614.0894296296299,599.5737907407406,-14.51563888888927,True
D,2025-01-04,6,100,16:50-17:00,633.3533611111109,625.9161166666669,-7.437244444443991,True
D,2025-01-04,6,101,17:00-17:10,621.8155666666665,621.4567166666666,-0.35884999999996126,True
D,2025-01-04,6,102,17:10-17:20,618.8009555555556,618.5019138888889,-0.2990416666666533,True
D,2025-01-04,6,103,17:20-17:30,612.4908259259258,612.2515925925925,-0.2392333333333454,True
D,2025-01-04,6,104,17:30-17:40,597.323801851852,597.1443768518519,-0.17942500000003747,True
D,2025-01-04,6,105,17:40-17:50,615.2186018518519,615.0989851851853,-0.11961666666661586,True
