strategy,date,event_hour,soc_kwh,scenario_count,node_count,objective,solve_seconds,max_eq_residual,max_ub_violation,latest_history_day,continuation_first_time
D,2025-05-18,6,8102.548110538845,3,6,36379.68983710445,0.01922529999865219,1.8189894035458565e-12,9.094947017729282e-13,135,2025-05-19 00:10:00
D,2025-05-18,12,6997.3007861104525,3,3,35258.988728545555,0.018500499998481246,1.8189894035458565e-12,1.1368683772161603e-13,135,2025-05-19 00:10:00
D,2025-05-18,18,10765.81029085203,3,1,28404.70100550449,0.01643809999950463,1.8189894035458565e-12,1.7053025658242404e-13,135,2025-05-19 00:10:00
D,2025-05-19,0,2007.014572491835,3,9,30212.758524736088,0.025164200000290293,1.8189894035458565e-12,1.3642420526593924e-12,136,
D,2025-05-19,6,8222.816537767303,3,6,32208.4121400643,0.020121400000789436,9.094947017729282e-13,1.1368683772161603e-13,136,2025-05-20 00:10:00
D,2025-05-19,12,6468.494162653612,3,3,35004.11784779637,0.01790459999756422,1.8189894035458565e-12,1.1368683772161603e-13,136,2025-05-20 00:10:00
D,2025-05-19,18,10800.0,3,1,28088.111205985788,0.015887800000200514,1.8189894035458565e-12,1.1368683772161603e-13,136,2025-05-20 00:10:00
D,2025-05-20,0,1661.8043861311646,3,9,30086.64921624665,0.024511299998266622,9.094947017729282e-13,1.4779288903810084e-12,137,
D,2025-05-20,6,7259.743021379734,3,6,32935.40712662096,0.020217700002831407,9.094947017729282e-13,1.1368683772161603e-13,137,2025-05-21 00:10:00
D,2025-05-20,12,4754.117767468857,3,3,35459.317386695715,0.018682000001717824,9.094947017729282e-13,1.1368683772161603e-13,137,2025-05-21 00:10:00
D,2025-05-20,18,10540.437618787066,3,1,30059.397851415113,0.01596100000097067,1.8189894035458565e-12,1.1368683772161603e-13,137,2025-05-21 00:10:00
D,2025-05-21,0,1460.441020248165,3,9,29006.82203479919,0.02527379999810364,9.094947017729282e-13,1.5916157281026244e-12,138,
D,2025-05-21,6,5842.674067773424,3,6,33825.31193730548,0.023017499999696156,1.8189894035458565e-12,1.1368683772161603e-13,138,2025-05-22 00:10:00
D,2025-05-21,12,4688.3428713444955,3,3,35544.698547715576,0.02047080000193091,9.094947017729282e-13,1.1368683772161603e-13,138,2025-05-22 00:10:00
D,2025-05-21,18,10800.0,3,1,29470.144784292253,0.016767600001912797,1.8189894035458565e-12,1.1368683772161603e-13,138,2025-05-22 00:10:00
D,2025-05-22,0,1353.6070952726072,3,9,30312.97992793385,0.023842800001148134,1.8189894035458565e-12,1.2505552149377763e-12,139,
D,2025-05-22,6,8048.013701393754,3,6,30655.01840324965,0.01912060000177007,9.094947017729282e-13,1.1368683772161603e-13,139,2025-05-23 00:10:00
D,2025-05-22,12,5752.516760730445,3,3,31694.502442830635,0.018456800000421936,1.8189894035458565e-12,1.1368683772161603e-13,139,2025-05-23 00:10:00
D,2025-05-22,18,10686.550376227138,3,1,25641.31214627984,0.015671400000428548,1.8189894035458565e-12,1.1368683772161603e-13,139,2025-05-23 00:10:00
D,2025-05-23,0,1941.999269357455,3,9,24472.97904577933,0.024393900002905866,3.637978807091713e-12,1.3642420526593924e-12,140,
D,2025-05-23,6,9187.43484370127,3,6,23771.923183461993,0.015383400001155678,9.094947017729282e-13,2.2737367544323206e-13,140,2025-05-24 00:10:00
D,2025-05-23,12,10800.0,3,3,19425.770465846093,0.01711780000186991,1.8189894035458565e-12,5.684341886080802e-14,140,2025-05-24 00:10:00
D,2025-05-23,18,10800.0,3,1,17291.021333894078,0.014006699999299599,9.094947017729282e-13,2.842170943040401e-14,140,2025-05-24 00:10:00
D,2025-05-24,0,3302.311601470959,3,9,23616.87252989955,0.022028399998816894,1.8189894035458565e-12,1.3642420526593924e-12,141,
D,2025-05-24,6,8695.188012559778,3,6,23492.02106223031,0.016741300001740456,1.8189894035458565e-12,1.1368683772161603e-13,141,2025-05-25 00:10:00
D,2025-05-24,12,10800.0,3,3,21992.135957200346,0.018811099998856662,1.8189894035458565e-12,1.1368683772161603e-13,141,2025-05-25 00:10:00
D,2025-05-24,18,10800.0,3,1,20413.67910489351,0.014097600000241073,1.8189894035458565e-12,1.1368683772161603e-13,141,2025-05-25 00:10:00
D,2025-05-25,0,3731.0232921322327,3,9,30053.098550316576,0.028459999997721752,5.4569682106375694e-12,1.8189894035458565e-12,142,
D,2025-05-25,6,6994.913765660363,3,6,34779.71194393586,0.019408099997235695,1.8189894035458565e-12,1.1368683772161603e-13,142,2025-05-26 00:10:00
D,2025-05-25,12,7089.149939947799,3,3,40734.12392341884,0.01857969999764464,0.0,1.1368683772161603e-13,142,2025-05-26 00:10:00
D,2025-05-25,18,10443.512323360806,3,1,36049.90407023622,0.0167622000008123,9.094947017729282e-13,1.1368683772161603e-13,142,2025-05-26 00:10:00
D,2025-05-26,0,2883.2701031405786,3,9,30039.05342729271,0.023942299998452654,9.094947017729282e-13,7.958078640513122e-13,143,
D,2025-05-26,6,7022.668357851106,3,6,36120.151735510146,0.020913199998176424,1.8189894035458565e-12,1.7053025658242404e-13,143,2025-05-27 00:10:00
D,2025-05-26,12,4332.3877320097035,3,3,33447.25410404649,0.018191399998613633,9.094947017729282e-13,1.7053025658242404e-13,143,2025-05-27 00:10:00
D,2025-05-26,18,10800.0,3,1,31242.014597970676,0.015827499999431893,9.094947017729282e-13,1.1368683772161603e-13,143,2025-05-27 00:10:00
D,2025-05-27,0,2715.392816166511,3,9,28716.26650372732,0.023992800000996795,9.094947017729282e-13,1.4779288903810084e-12,144,
D,2025-05-27,6,5639.547285610197,3,6,33292.98923255442,0.020560299999488052,9.094947017729282e-13,2.2737367544323206e-13,144,2025-05-28 00:10:00
D,2025-05-27,12,4851.614940261907,3,3,36527.25612871146,0.018476799999916693,9.094947017729282e-13,1.1368683772161603e-13,144,2025-05-28 00:10:00
D,2025-05-27,18,10800.0,3,1,28794.998082883532,0.01599509999869042,1.8189894035458565e-12,1.1368683772161603e-13,144,2025-05-28 00:10:00
D,2025-05-28,0,1447.1312881295457,3,9,30603.05304635375,0.024674200001754798,1.8189894035458565e-12,2.2737367544323206e-13,145,
D,2025-05-28,6,7779.64261615046,3,6,35178.62949861504,0.020649000001867535,9.094947017729282e-13,2.2737367544323206e-13,145,2025-05-29 00:10:00
D,2025-05-28,12,3575.997209276113,3,3,39803.528157401415,0.020838500000536442,4.547473508864641e-13,4.547473508864641e-13,145,2025-05-29 00:10:00
D,2025-05-28,18,10742.392864945232,3,1,31616.50632953915,0.015126800000871299,9.094947017729282e-13,1.7053025658242404e-13,145,2025-05-29 00:10:00
D,2025-05-29,0,1839.8807796756744,3,9,30356.594675056604,0.02721450000171899,9.094947017729282e-13,1.1368683772161603e-13,146,
D,2025-05-29,6,7168.37828542845,3,6,39204.42379301104,0.021752600001491373,9.094947017729282e-13,1.7053025658242404e-13,146,2025-05-30 00:10:00
D,2025-05-29,12,6558.834948879068,3,3,34404.16360918319,0.017997200000536395,1.8189894035458565e-12,1.7053025658242404e-13,146,2025-05-30 00:10:00
D,2025-05-29,18,10580.127758112734,3,1,28721.484140542085,0.01597330000004149,9.094947017729282e-13,1.1368683772161603e-13,146,2025-05-30 00:10:00
D,2025-05-30,0,1901.9253530283888,3,9,26340.691548686482,0.025294800001574913,1.8189894035458565e-12,1.9326762412674725e-12,147,
D,2025-05-30,6,9996.383461010397,3,6,23201.11034645253,0.015919599998596823,1.8189894035458565e-12,1.1368683772161603e-13,147,2025-05-31 00:10:00
D,2025-05-30,12,10800.0,3,3,22232.611661021918,0.01793129999714438,9.094947017729282e-13,1.1368683772161603e-13,147,2025-05-31 00:10:00
D,2025-05-30,18,10747.434598979582,3,1,18626.40384948522,0.01464260000284412,1.8189894035458565e-12,1.1368683772161603e-13,147,2025-05-31 00:10:00
D,2025-05-31,0,3597.2949198108013,3,9,28335.826159095843,0.024404399999184534,9.094947017729282e-13,2.6432189770275727e-12,148,
D,2025-05-31,6,10501.299755233758,3,6,24549.16316978799,0.015141600000788458,9.094947017729282e-13,1.1368683772161603e-13,148,2025-06-01 00:10:00
D,2025-05-31,12,10800.0,3,3,25193.794136755045,0.016329999998561107,1.8189894035458565e-12,1.1368683772161603e-13,148,2025-06-01 00:10:00
D,2025-05-31,18,10800.0,3,1,23006.79179612644,0.015681299999414477,9.094947017729282e-13,1.1368683772161603e-13,148,2025-06-01 00:10:00
D,2025-06-01,0,3968.767362837736,3,9,38693.574971386006,0.03122069999881205,1.8189894035458565e-12,1.8189894035458565e-12,149,
D,2025-06-01,6,8795.225698880111,3,6,44343.05532688073,0.02057539999805158,9.094947017729282e-13,1.1368683772161603e-13,149,2025-06-02 00:10:00
D,2025-06-01,12,7043.119417603668,3,3,36908.1518999569,0.020683299997472204,9.094947017729282e-13,2.2737367544323206e-13,149,2025-06-02 00:10:00
D,2025-06-01,18,10111.324710476872,3,1,37793.47503418666,0.01668509999944945,9.094947017729282e-13,1.1368683772161603e-13,149,2025-06-02 00:10:00
D,2025-06-02,0,2410.1124371878595,3,9,40535.82278426171,0.03240640000149142,1.8189894035458565e-12,1.1368683772161603e-12,150,
D,2025-06-02,6,9871.964079710651,3,6,38820.48664970379,0.019158700000843965,9.094947017729282e-13,1.7053025658242404e-13,150,2025-06-03 00:10:00
D,2025-06-02,12,5429.043022358764,3,3,40200.858311444965,0.01815369999894756,1.8189894035458565e-12,1.1368683772161603e-13,150,2025-06-03 00:10:00
D,2025-06-02,18,10398.86010444315,3,1,35390.57703506846,0.017535899998620152,4.547473508864641e-13,1.1368683772161603e-13,150,2025-06-03 00:10:00
D,2025-06-03,0,1619.9489534924176,3,9,37201.094592572175,0.030275600001914427,1.8189894035458565e-12,1.8189894035458565e-12,151,
D,2025-06-03,6,9492.056794978262,3,6,44261.44781334732,0.02198590000261902,1.8189894035458565e-12,2.2737367544323206e-13,151,2025-06-04 00:10:00
D,2025-06-03,12,7614.715214948044,3,3,40974.98648618796,0.0194526000013866,9.094947017729282e-13,1.1368683772161603e-13,151,2025-06-04 00:10:00
